playerID,yearID,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,AVG,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
aardsda01,9.0,9.0,331.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
aaronha01,23.0,23.0,3298.0,12364.0,2174.0,3771.0,624.0,98.0,755.0,2297.0,240.0,73.0,1402.0,1383.0,293.0,32.0,21.0,121.0,328.0,0.386285393100541,0.30499838240051763,1982.0,BBWAA,415.0,312.0,406.0,Y,Player,
aaronto01,7.0,7.0,437.0,944.0,102.0,216.0,42.0,6.0,13.0,94.0,9.0,8.0,86.0,145.0,3.0,0.0,9.0,6.0,36.0,0.29103053435114506,0.2288135593220339,,,0.0,,0.0,N,Player,
aasedo01,13.0,13.0,448.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42553851456144,0.0,0.0,241.86447239933366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
abadan01,3.0,3.0,15.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.24,0.09523809523809523,,,0.0,,0.0,N,Player,
abadfe01,6.0,6.0,258.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.125,0.125,,,0.0,,0.0,N,Player,
abadijo01,2.0,2.0,12.0,49.0,4.0,11.0,0.0,0.0,0.0,5.0,1.0000000000000002,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.22448979591836735,0.22448979591836735,,,0.0,,0.0,N,Player,
abbated01,10.0,10.0,855.0,3044.0,355.0,772.0,99.0,43.0,11.0,324.0,142.0,0.0,289.0,405.6,0.0,33.0,93.0,0.0,0.0,0.3162763804567794,0.2536136662286465,,,0.0,,0.0,N,Player,
abbeybe01,6.0,6.0,79.0,225.0,21.0,38.0,3.0,3.0,0.0,17.0,3.0,0.0,21.0,54.0,0.0,0.0,4.0,0.0,0.0,0.236,0.1688888888888889,,,0.0,,0.0,N,Player,
abbeych01,5.0,5.0,451.0,1751.0,307.0,492.0,67.0,46.0,19.0,280.0,93.0,0.0,167.0,185.8,0.0,23.0,18.0,0.0,0.0,0.3481368044920878,0.28098229583095374,,,0.0,,0.0,N,Player,
abbotda01,1.0,1.0,3.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0000000000000002,0.0,0.0,51.80000000000001,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,,,0.0,,0.0,N,Player,
abbotfr01,3.0,3.0,160.0,513.0,48.0,107.0,21.0,6.0,1.0,49.0,14.0,0.0,19.0,165.6,0.0,8.0,20.0,0.0,0.0,0.2392857142857143,0.20857699805068225,,,0.0,,0.0,N,Player,
abbotgl01,12.0,12.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71180423918663,0.0,0.0,195.43456832672754,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,N,Player,
abbotje01,5.0,5.0,233.0,596.0,82.0,157.0,33.0,2.0,18.0,83.0,6.0,5.0,38.0,91.0,2.0,3.0,5.0,7.0,12.0,0.30721966205837176,0.2634228187919463,,,0.0,,0.0,N,Player,
abbotji01,11.0,11.0,263.0,21.0,0.0,2.0,0.0,0.0,0.0,3.0,28.568671376874036,0.0,0.0,227.1495203630306,0.0,0.0,3.0,0.0,1.0,0.08333333333333333,0.09523809523809523,2005.0,BBWAA,516.0,387.0,13.0,N,Player,
abbotku01,10.0,10.0,702.0,2044.0,273.0,523.0,109.0,23.0,62.0,242.0,22.0,11.0,133.0,571.0,11.0,17.0,21.0,12.0,37.0,0.30563002680965146,0.25587084148727984,,,0.0,,0.0,N,Player,
